"","geneNames","geneCounts","NC"
"902","lemA",90,1
"903","group_5991",90,1
"904","ftsL",90,1
"905","group_5993",90,1
"906","bamE",90,1
"907","group_5995",90,1
"908","pcs",90,1
"909","group_5997",90,1
"910","group_5998",90,1
"911","group_5999",90,1
"912","glnA",90,1
"913","def_1",90,1
"914","ruvA",90,1
"915","group_6003",90,1
"916","skp",90,1
"917","recR",90,1
"918","rplF",90,1
"919","rpoZ",90,1
"920","rpsP",90,1
"921","rpsQ",90,1
"922","prfC",90,1
"923","rpsU",90,1
"924","tolQ",90,1
"925","orn",90,1
"926","rplK",90,1
"927","acpP_1",90,1
"928","kdsD",90,1
"929","group_6016",90,1
"930","hupB",90,1
"931","ctpB",90,1
"932","rpmF",90,1
"933","pntAA",90,1
"934","rplS",90,1
"935","rplP",90,1
"936","group_6022",90,1
"937","glnB",90,1
"938","rplA",90,1
"939","fis_3",90,1
"940","group_6026",90,1
"941","rpsF",90,1
"942","fur",90,1
"943","group_6029",90,1
"944","fis_1",90,1
"945","mraZ",90,1
"946","group_6032",90,1
"947","rpsK",90,1
"948","plsX",90,1
"949","group_6035",90,1
"950","accC",90,1
"951","trxA",90,1
"952","rpsJ",90,1
"953","atpB",90,1
"954","group_604",90,1
"955","spmA",90,1
"956","kaiB",90,1
"957","lptB",90,1
"958","group_6043",90,1
"959","groS",90,1
"960","yadH",90,1
"961","group_6046",90,1
"962","rppH",90,1
"963","cmpD",90,1
"964","rplV",90,1
"965","ycaC",90,1
"966","rplN",90,1
"967","trpR",90,1
"968","pgsA2",90,1
"969","group_6053",90,1
"970","hslU",90,1
"971","group_6055",90,1
"972","group_6056",90,1
"973","rpmG",90,1
"974","group_6058",90,1
"975","dcd",90,1
"976","group_606",90,1
"977","engB",90,1
"978","gcvPB",90,1
"979","mltA_1",90,1
"980","metQ",90,1
"981","group_6064",90,1
"982","zraR",90,1
"983","rplX",90,1
"984","decR_2",90,1
"985","kdsA",90,1
"986","nrdR",90,1
"987","group_607",90,1
"988","gyrB",90,1
"989","ctaD",90,1
"990","rocC",90,1
"991","mmgC",90,1
"992","group_6074",90,1
"993","group_6075",90,1
"994","group_6076",90,1
"995","dnaJ",90,1
"996","clcA_1",90,1
"997","group_6079",90,1
"998","pdxB",90,1
"999","clpP",90,1
"1000","relA",90,1
"1001","group_6082",90,1
"1002","sucC",90,1
"1003","mnmE",90,1
"1004","rlmH",90,1
"1005","mip",90,1
"1006","yknY",90,1
"1007","rfaQ",90,1
"1008","rpsD",90,1
"1009","group_609",90,1
"1010","group_6090",90,1
"1011","gmk",90,1
"1012","ppiB",90,1
"1013","group_6093",90,1
"1014","group_6094",90,1
"1015","murG",90,1
"1016","purD",90,1
"1017","lptE",90,1
"1018","group_6098",90,1
"1019","miaB",90,1
"1020","group_610",90,1
"1021","gltP",90,1
"1022","pitA_2",90,1
"1023","sufU",90,1
"1024","dapA",90,1
"1025","folB",90,1
"1026","rpoB",90,1
"1027","nadA",90,1
"1028","prfA_1",90,1
"1029","group_6108",90,1
"1030","zapA",90,1
"1031","aroB",90,1
"1032","group_6110",90,1
"1033","group_6111",90,1
"1034","group_6112",90,1
"1035","trpS",90,1
"1036","rsmH",90,1
"1037","secY",90,1
"1038","rsmG",90,1
"1039","group_6117",90,1
"1040","secD",90,1
"1041","group_6119",90,1
"1042","ribF",90,1
"1043","tyrP_1",90,1
"1044","ubiE",90,1
"1045","speA",90,1
"1046","rplM",90,1
"1047","apbC",90,1
"1048","cc4",90,1
"1049","psuG",90,1
"1050","rplJ",90,1
"1051","hslV",90,1
"1052","recQ",90,1
"1053","group_613",90,1
"1054","psd",90,1
"1055","exoA",90,1
"1056","sdhB",90,1
"1057","group_6133",90,1
"1058","dtd",90,1
"1059","garP_2",90,1
"1060","scpA",90,1
"1061","lon",90,1
"1062","korB",90,1
"1063","hspQ",90,1
"1064","maeA_1",90,1
"1065","ppsR",90,1
"1066","map_1",90,1
"1067","yidC",90,1
"1068","flgD",90,1
"1069","ubiD",90,1
"1070","pcaF",90,1
"1071","gltA",90,1
"1072","fumC",90,1
"1073","xcpW",90,1
"1074","group_6150",90,1
"1075","hda",90,1
"1076","yqeY",90,1
"1077","ywlC",90,1
"1078","pqiB",90,1
"1079","pheS",90,1
"1080","glpD",90,1
"1081","ftsN",90,1
"1082","flgB",90,1
"1083","grxD",90,1
"1084","ispB",90,1
"1085","glnD",90,1
"1086","group_6162",90,1
"1087","fadN",90,1
"1088","gloA",90,1
"1089","group_6165",90,1
"1090","crt_2",90,1
"1091","nusA",90,1
"1092","metK",90,1
"1093","group_6169",90,1
"1094","gadC_1",90,1
"1095","gadC_2",90,1
"1096","gltB",90,1
"1097","typA",90,1
"1098","fabG_1",90,1
"1099","accB",90,1
"1100","fabF_3",90,1
"1101","sspA",90,1
"1102","group_6178",90,1
"1103","alaC",90,1
"1104","acsA_2",90,1
"1105","apaH",90,1
"1106","minC",90,1
"1107","atpC",90,1
"1108","group_6183",90,1
"1109","osmY_1",90,1
"1110","mltA_2",90,1
"1111","kefC",90,1
"1112","tagH",90,1
"1113","queH",90,1
"1114","atpA",90,1
"1115","group_619",90,1
"1116","rpoN",90,1
"1117","yhdG_1",90,1
"1118","fabI_1",90,1
"1119","adc",90,1
"1120","ybeY",90,1
"1121","hflC",90,1
"1122","rimK_1",90,1
"1123","group_6197",90,1
"1124","fliA",90,1
"1125","ravA",90,1
"1126","group_620",90,1
"1127","ydcV",90,1
"1128","lptD",90,1
"1129","group_6202",90,1
"1130","bepE_1",90,1
"1131","prmB",90,1
"1132","group_6205",90,1
"1133","ynjF",90,1
"1134","ribA",90,1
"1135","group_6208",90,1
"1136","cph1",90,1
"1137","serS",90,1
"1138","mepC",90,1
"1139","bepE_3",90,1
"1140","pccB",90,1
"1141","group_6214",90,1
"1142","group_6215",90,1
"1143","group_6216",90,1
"1144","tsaE",90,1
"1145","mnmG",90,1
"1146","group_6219",90,1
"1147","group_622",90,1
"1148","tgt_1",90,1
"1149","topA",90,1
"1150","group_6222",90,1
"1151","group_6223",90,1
"1152","dnaK",90,1
"1153","gcvT",90,1
"1154","lolA",90,1
"1155","mraY",90,1
"1156","glbN",90,1
"1157","sohB",90,1
"1158","group_623",90,1
"1159","group_6230",90,1
"1160","gpmI",90,1
"1161","group_6232",90,1
"1162","group_6233",90,1
"1163","yccA",90,1
"1164","group_6235",90,1
"1165","cmk",90,1
"1166","yggR",90,1
"1167","ftsZ",90,1
"1168","folE",90,1
"1169","ybhR_1",90,1
"1170","bepA_1",90,1
"1171","bioC_1",90,1
"1172","zapD",90,1
"1173","rplR",90,1
"1174","group_6245",90,1
"1175","group_6246",90,1
"1176","yhgF",90,1
